ID,ISACTIVE,ISARCHIVED,ISDELETED,NAME,PRODUCTCODE
01t6E000005g8IIQAY,TRUE,FALSE,FALSE,Pelvis,SKU10048
01t6E000005g8K3QAI,TRUE,FALSE,FALSE,Birth pool,pool 
01t6E000005g8KDQAY,TRUE,FALSE,FALSE,Baby Massage doll,SKU 10024
01t6E000005g8JFQAY,TRUE,FALSE,FALSE,Birthing ball - pump,SKU 10049
01t6E000005g8HoQAI,TRUE,FALSE,FALSE,Peterkin demonstration doll,SKU 10091/10092/10093/10068
01t6E000005g8I8QAI,TRUE,FALSE,FALSE,Breastfeeding positioning doll,SKU 10158/10189
01t6E000005g8JPQAY,TRUE,FALSE,FALSE,Breastfeeding step-by-step - cards,SKU 10061
01t6E000005g8JoQAI,TRUE,FALSE,FALSE,Ardo Belly Balls - with breast,SKU 10003
01t6E000005g8I3QAI,TRUE,FALSE,FALSE,Antenatal demonstration doll,SKU 10025/10035
01t6E000005g8IgQAI,TRUE,FALSE,FALSE,NCT stages of labour cross sectional charts,SKU 10083
01t6E000005g8J5QAI,TRUE,FALSE,FALSE,Birthing ball - 65cm,SKU 10051
01t6E000005g8JAQAY,TRUE,FALSE,FALSE,Birthing ball - 75cm,SKU 10052
01t6E000005g8JZQAY,TRUE,FALSE,FALSE,Breastfeeding step-by-step - poster - A3,SKU 10019
01t6E000005g8JtQAI,TRUE,FALSE,FALSE,Real Baby Milk DVD,SKU 10162
01t6E000005g8IqQAI,TRUE,FALSE,FALSE,Positions for labour and birth teaching cards - A4,SKU 10179
01t6E000005g8JKQAY,TRUE,FALSE,FALSE,What's in a nappy poster - A3,SKU 10109
01t6E000005g8K8QAI,TRUE,FALSE,FALSE,Baby Massage short mat,SKU 10110
01t6E000005g8JjQAI,TRUE,FALSE,FALSE,Ardo Belly Balls - belly balls only,SKU 10002
01t6E000005g8IlQAI,TRUE,FALSE,FALSE,Labour and birth positions - pack of 2 posters - A2,SKU10243
01t6E000005g8J0QAI,TRUE,FALSE,FALSE,Positions for labour and birth teaching cards - A5,SKU 10179