Name,Zumzum__Active__c,Zumzum__Type__c
1C,TRUE,Dimension 1
1W,TRUE,Dimension 1
2A,TRUE,Dimension 1
2B,TRUE,Dimension 1
2C,TRUE,Dimension 1
3A,TRUE,Dimension 1
3B,TRUE,Dimension 1
3D,TRUE,Dimension 1
3E,TRUE,Dimension 1
3F,TRUE,Dimension 1
4A,TRUE,Dimension 1
4B,TRUE,Dimension 1
4C,TRUE,Dimension 1
4D,TRUE,Dimension 1
4E,TRUE,Dimension 1
4F,TRUE,Dimension 1
4G,TRUE,Dimension 1
4H,TRUE,Dimension 1
4I,TRUE,Dimension 1
4J,TRUE,Dimension 1
4K,TRUE,Dimension 1
4L,TRUE,Dimension 1
4M,TRUE,Dimension 1
4N,TRUE,Dimension 1
4P,TRUE,Dimension 1
4Q,TRUE,Dimension 1
4R,TRUE,Dimension 1
4S,TRUE,Dimension 1
5A,TRUE,Dimension 1
5B,TRUE,Dimension 1
5C,TRUE,Dimension 1
5D,TRUE,Dimension 1
5E,TRUE,Dimension 1
5F,TRUE,Dimension 1
5G,TRUE,Dimension 1
5H,TRUE,Dimension 1
5I,TRUE,Dimension 1
5J,TRUE,Dimension 1
5K,TRUE,Dimension 1
5L,TRUE,Dimension 1
5M,TRUE,Dimension 1
5N,TRUE,Dimension 1
5O,TRUE,Dimension 1
5R,TRUE,Dimension 1
5S,TRUE,Dimension 1
5T,TRUE,Dimension 1
5U,TRUE,Dimension 1
5VL,TRUE,Dimension 1
6A,TRUE,Dimension 1
6B,TRUE,Dimension 1
6C,TRUE,Dimension 1
6D,TRUE,Dimension 1
6E,TRUE,Dimension 1
7A,TRUE,Dimension 1
7B,TRUE,Dimension 1
7C,TRUE,Dimension 1
7D,TRUE,Dimension 1
4O,TRUE,Dimension 1
5P,TRUE,Dimension 1
8C,TRUE,Dimension 1
8D,TRUE,DImension 1
9A,TRUE,Dimension 1
NCT Signature antenatal course,TRUE,Dimension 2
NCT Essentials antenatal course,TRUE,Dimension 2
NCT Antenatal refresher course,TRUE,Dimension 2
NCT Twins and Multiples workshop,TRUE,Dimension 2
NCT Baby Massage course,TRUE,Dimension 2
NCT Early Days course,TRUE,Dimension 2
NCT Introducing Solid Foods workshop,TRUE,Dimension 2
One to One,TRUE,Dimension 2
NCT Waterbirth workshop,TRUE,Dimension 2
NCT Mother and Baby Yoga,TRUE,Dimension 2
NCT Yoga for Pregnancy,TRUE,Dimension 2